length	mean	std
1	0.0	0.0
2	0.0	0.0
3	0.0	0.0
4	0.0	0.0
5	0.0	0.0
6	0.0	0.0
7	0.0	0.0
8	-0.00014801025611177465	0.004954265241875324
9	-0.007307434086754938	0.08397896661742056
10	-0.02423999991118908	0.16710602034014904
11	-0.0589200000077486	0.27735254284393135
12	-0.13835999981164931	0.5256886042741871
13	-0.22492000024616718	0.6288521227371858
14	-0.34676000028550624	0.815741073803364
15	-0.50255999943614	1.0441615966222288
16	-0.6702800010621548	1.2315911336279537
17	-0.7671199999243021	1.2691221010226428
18	-1.0183599993348122	1.4644271574882168
19	-1.1768399992614984	1.5676771393795736
20	-1.370199998691678	1.7222531622141988
21	-1.6269999975055456	1.863329002622603
22	-1.7825599990397691	1.8691708975862067
23	-2.0727199994057415	2.0336941277990914
24	-2.3228399989515545	2.1805362528042207
25	-2.5529599980175495	2.282289030145558
26	-2.747640000757575	2.342630661650814
27	-2.925720001345873	2.3125930247039617
28	-3.291000002837181	2.5207449367683945
29	-3.478639999958873	2.5213345179670466
30	-3.6647599991708995	2.659653011913971
31	-3.959480001464486	2.7031733485795213
32	-4.322959998980164	2.7176874099182498
33	-4.512600000911951	2.823403131260591
34	-4.757440003278852	2.9013632428197114
35	-5.035400005471707	2.920861329879251
36	-5.301199999770522	2.9158666900131176
37	-5.49879999885261	3.0575098610780493
38	-5.687680004099011	3.0357602412844713
39	-6.100279997292161	3.1501206250024327
40	-6.259000004261732	3.284330531986358
41	-6.634239998707176	3.3335476004157347
42	-6.937880004000664	3.3896278770608235
43	-7.182120005297661	3.3282698717356487
44	-7.383560000932216	3.4346746219997204
45	-7.546040001931787	3.4278349346401704
46	-7.970267994192243	3.5785162778064734
47	-8.091560003298522	3.5626423888846115
48	-8.44697600262165	3.7284028064474697
49	-8.643100001606346	3.7080894172386167
50	-8.926328000316024	3.7030523884450677
51	-9.29046800892651	3.726849922173926
52	-9.374288010928035	3.7945016012366772
53	-9.829296003332734	3.91774138854806
54	-10.128508014923334	3.8352741424479264
55	-10.428792003980279	3.935031020468823
56	-10.653879995679855	3.9988014232368267
