experiment,sample,cell_line,target,prime_editor,replicate,context,library_size,figure,name
LMNB1rc_293T_barnacle,45-6-3-LMNB1rc,HEK293T,LMNB1rc,PE2,3,other,3168,Figure 5,LMNB1rc HEK293T
RNF2_293T_barnacle,45-6-1-RNF2,HEK293T,RNF2,PE2,1,other,3168,Figure 5,RNF2 HEK293T
RNF2_293T_barnacle,45-6-2-RNF2,HEK293T,RNF2,PE2,2,other,3168,Figure 5,RNF2 HEK293T
RNF2_293T_barnacle,45-6-3-RNF2,HEK293T,RNF2,PE2,3,other,3168,Figure 5,RNF2 HEK293T
TP53_293T_barnacle,45-6-1-TP53,HEK293T,TP53,PE2,1,other,3168,Figure 5,TP53 HEK293T
TP53_293T_barnacle,45-6-2-TP53,HEK293T,TP53,PE2,2,other,3168,Figure 5,TP53 HEK293T
TP53_293T_barnacle,45-6-3-TP53,HEK293T,TP53,PE2,3,other,3168,Figure 5,TP53 HEK293T
TP53rc_293T_barnacle,45-6-1-TP53rc,HEK293T,TP53rc,PE2,1,other,3168,Figure 5,TP53rc HEK293T
TP53rc_293T_barnacle,45-6-2-TP53rc,HEK293T,TP53rc,PE2,2,other,3168,Figure 5,TP53rc HEK293T
TP53rc_293T_barnacle,45-6-3-TP53rc,HEK293T,TP53rc,PE2,3,other,3168,Figure 5,TP53rc HEK293T
HEK3_293T_barnacle,45-6-1-HEK3,HEK293T,HEK3,PE2,1,other,3168,Figure 5,HEK3 HEK293T
HEK3_293T_barnacle,45-6-2-HEK3,HEK293T,HEK3,PE2,2,other,3168,Figure 5,HEK3 HEK293T
HEK3_293T_barnacle,45-6-3-HEK3,HEK293T,HEK3,PE2,3,other,3168,Figure 5,HEK3 HEK293T
