feature,feature_id,score
Length,0,0.46352952597677044
Length,1,0.5394865197391662
Length,2,0.4953149029498255
Length,3,0.4858278016453436
Length,4,0.5574178737664022
Length,5,0.5741935610080645
Length,6,0.5302899238040131
Length,7,0.5316276524486596
Length,8,0.5629271971283999
Length,9,0.5479408814971611
Structure,0,0.3723958939394807
Structure,1,0.45695102447369
Structure,2,0.35302343836481825
Structure,3,0.4129565940444679
Structure,4,0.3874375095941357
Structure,5,0.37618054035856957
Structure,6,0.3617949932492236
Structure,7,0.39922843040121025
Structure,8,0.38106817586366076
Structure,9,0.40107392624720606
%N,0,0.38388290085389515
%N,1,0.48853182704281334
%N,2,0.47496094453664084
%N,3,0.44767960188800276
%N,4,0.5062124142747335
%N,5,0.512573109229646
%N,6,0.48711867568819944
%N,7,0.49023400701516195
%N,8,0.4965870368214697
%N,9,0.534471391635734
System,0,0.3042888042207552
System,1,0.33259436031449535
System,2,0.3239598524632527
System,3,0.29476165470304583
System,4,0.2899845707473007
System,5,0.29440914782792765
System,6,0.3094156466008144
System,7,0.29596784431213635
System,8,0.31562916544390046
System,9,0.36252125879267516
Sequence,0,0.5916476445997875
Sequence,1,0.6172398902876972
Sequence,2,0.6062562950567418
Sequence,3,0.595369669233756
Sequence,4,0.6648474961812001
Sequence,5,0.6589564440730045
Sequence,6,0.6388776469052808
Sequence,7,0.6172563114776083
Sequence,8,0.6522994390383673
Sequence,9,0.6350626543899529
Model v1,0,0.682815553472298
Model v1,1,0.7099923454955102
Model v1,2,0.6748920358127752
Model v1,3,0.6872992533265672
Model v1,4,0.7457266294408468
Model v1,5,0.745113790544005
Model v1,6,0.7099670838346597
Model v1,7,0.7031534544003201
Model v1,8,0.730394266423066
Model v1,9,0.7213398222540732
Model v1 + 1st nt,0,0.6880362373962682
Model v1 + 1st nt,1,0.7128779007850794
Model v1 + 1st nt,2,0.6680139635555749
Model v1 + 1st nt,3,0.6866650447798712
Model v1 + 1st nt,4,0.7430919532952979
Model v1 + 1st nt,5,0.7476947979732426
Model v1 + 1st nt,6,0.7177307679627543
Model v1 + 1st nt,7,0.7020080280814563
Model v1 + 1st nt,8,0.7367547790317196
Model v1 + 1st nt,9,0.7266795899530878
all,0,0.6811780135056277
all,1,0.7179122198502034
all,2,0.6753351664854909
all,3,0.6895300641255705
all,4,0.7413387711034819
all,5,0.7410605723955308
all,6,0.7252930055856354
all,7,0.7079699332568772
all,8,0.7414400323165619
all,9,0.7283017909884087
