Arun_maxlen,percA,VF_RTT_z,percC,loop1_intact,pos1compl,mmr,pairedbases,length,percT
1.0,0.5992048262064945,0.21798813374667592,-0.2210219827207131,-0.18366485638803817,-0.023956242816609723,0.0029365695257423724,0.05201365900763766,0.40071394584932324,-0.20026788790586775
0.5992048262064945,1.0,0.37700313177629363,-0.37586923311566106,-0.22708133748160905,-0.044188316880664325,-0.001657604871140209,0.07575636501931982,0.03427883245719763,-0.3338348018213205
0.21798813374667592,0.37700313177629363,1.0,-0.1835265863915685,-0.11060270804336537,-0.04161910182838514,0.0015803601013567653,0.015586706114166375,-0.1269049050766398,0.18502993786930752
-0.2210219827207131,-0.37586923311566106,-0.1835265863915685,1.0,0.2719171967504177,0.05597055218763957,0.006472968664284363,0.06644389899993235,0.001168617169357167,-0.2774500129404326
-0.18366485638803817,-0.22708133748160905,-0.11060270804336537,0.2719171967504177,1.0,0.0042047134171310325,-0.00011765459994493662,-0.013809251763858043,-0.04534523127598604,0.060914642791030996
-0.023956242816609723,-0.044188316880664325,-0.04161910182838514,0.05597055218763957,0.0042047134171310325,1.0,0.004307718249145603,-0.17306695260180466,0.00792930479710173,-0.06051170189681014
0.0029365695257423724,-0.001657604871140209,0.0015803601013567653,0.006472968664284363,-0.00011765459994493662,0.004307718249145603,1.0,0.05302499159502201,0.00829161975606653,-0.005593876952253326
0.05201365900763766,0.07575636501931982,0.015586706114166375,0.06644389899993235,-0.013809251763858043,-0.17306695260180466,0.05302499159502201,1.0,-0.001380569239568277,-0.13013758234292255
0.40071394584932324,0.03427883245719763,-0.1269049050766398,0.001168617169357167,-0.04534523127598604,0.00792930479710173,0.00829161975606653,-0.001380569239568277,1.0,-0.06845956447889272
-0.20026788790586775,-0.3338348018213205,0.18502993786930752,-0.2774500129404326,0.060914642791030996,-0.06051170189681014,-0.005593876952253326,-0.13013758234292255,-0.06845956447889272,1.0
