feature,feature_id,score,order,included
length,0,0.4763921011731141,0,True
length,1,0.5336249011843994,0,True
length,2,0.4820123636707858,0,True
length,3,0.4763508823396586,0,True
length,4,0.4698554165103695,0,True
length,5,0.44164532603373696,0,True
length,6,0.5072924170286611,0,True
length,7,0.4701516158366129,0,True
length,8,0.463696365505643,0,True
length,9,0.46731355067518643,0,True
VF_RTT_z,0,0.508990738936842,1,True
VF_RTT_z,1,0.5792029028324263,1,True
VF_RTT_z,2,0.5342636500353328,1,True
VF_RTT_z,3,0.5326276327486429,1,True
VF_RTT_z,4,0.5045887497595406,1,True
VF_RTT_z,5,0.523541436516727,1,True
VF_RTT_z,6,0.5377612682474896,1,True
VF_RTT_z,7,0.48225887377993343,1,True
VF_RTT_z,8,0.5101076961791654,1,True
VF_RTT_z,9,0.5445668771762364,1,True
percC,0,0.5373420874613453,2,True
percC,1,0.617161381108821,2,True
percC,2,0.5683114431014681,2,True
percC,3,0.5547002757811136,2,True
percC,4,0.5218956896044965,2,True
percC,5,0.5355893081389125,2,True
percC,6,0.569073271745629,2,True
percC,7,0.4955366179928265,2,True
percC,8,0.52514998145534,2,True
percC,9,0.5511439404215679,2,True
mmr,0,0.6169259092589068,3,True
mmr,1,0.6829880341356149,3,True
mmr,2,0.6389696368020948,3,True
mmr,3,0.6310524113955901,3,True
mmr,4,0.59855379380053,3,True
mmr,5,0.6104153929557875,3,True
mmr,6,0.643823746778674,3,True
mmr,7,0.558864301461097,3,True
mmr,8,0.5877383667498159,3,True
mmr,9,0.6318211240487981,3,True
pairedbases,0,0.6309538458309079,4,True
pairedbases,1,0.6954101272229196,4,True
pairedbases,2,0.6033380867236344,4,True
pairedbases,3,0.6296917835699982,4,True
pairedbases,4,0.6002436189999,4,True
pairedbases,5,0.6226261126492693,4,True
pairedbases,6,0.641047575797409,4,True
pairedbases,7,0.5523968708526437,4,True
pairedbases,8,0.5980075690526916,4,True
pairedbases,9,0.6478611656830896,4,True
Arun_maxlen,0,0.6265825539129295,5,True
Arun_maxlen,1,0.7005363288135783,5,True
Arun_maxlen,2,0.6050307847942598,5,True
Arun_maxlen,3,0.6316042481592865,5,True
Arun_maxlen,4,0.5567465857813673,5,True
Arun_maxlen,5,0.6334166006296974,5,True
Arun_maxlen,6,0.6542583244314191,5,True
Arun_maxlen,7,0.5649300425412219,5,True
Arun_maxlen,8,0.6066234635066567,5,True
Arun_maxlen,9,0.6540798385298593,5,True
percA,0,0.6303521666363013,6,True
percA,1,0.7051538099989091,6,True
percA,2,0.5869127686859599,6,True
percA,3,0.6376470661191519,6,True
percA,4,0.6097787926781052,6,True
percA,5,0.6405426995528618,6,True
percA,6,0.6507188924898023,6,True
percA,7,0.5635506741348962,6,True
percA,8,0.6111899043964306,6,True
percA,9,0.6559009717829138,6,True
percT,0,0.633014588801887,7,True
percT,1,0.7031157225614164,7,True
percT,2,0.5661662432466146,7,True
percT,3,0.6546083648157466,7,True
percT,4,0.6011884061010861,7,True
percT,5,0.6452449954359043,7,True
percT,6,0.6627885177088176,7,True
percT,7,0.5651493219570299,7,True
percT,8,0.6124898165219439,7,True
percT,9,0.6637663546472569,7,True
pos1compl,0,0.6334572136787053,8,True
pos1compl,1,0.7105931242782088,8,True
pos1compl,2,0.5956057526306716,8,True
pos1compl,3,0.6601544677031288,8,True
pos1compl,4,0.6009251399238127,8,True
pos1compl,5,0.643228765276416,8,True
pos1compl,6,0.667565550974679,8,True
pos1compl,7,0.5709757949652707,8,True
pos1compl,8,0.6190336699063157,8,True
pos1compl,9,0.6713974445939777,8,True
loop1_intact,0,0.6319853347822822,9,True
loop1_intact,1,0.7103670947956232,9,True
loop1_intact,2,0.5786503878855392,9,True
loop1_intact,3,0.6567762377026521,9,True
loop1_intact,4,0.6039208522878214,9,True
loop1_intact,5,0.6409978273258322,9,True
loop1_intact,6,0.6693675110722177,9,True
loop1_intact,7,0.5719557950180891,9,True
loop1_intact,8,0.6213658857602411,9,True
loop1_intact,9,0.6683514715445457,9,True
Tm_insert,0,0.6307995197568816,10,False
Tm_insert,1,0.7078188513465413,10,False
Tm_insert,2,0.6008059900259308,10,False
Tm_insert,3,0.6578199985219872,10,False
Tm_insert,4,0.55943258357063,10,False
Tm_insert,5,0.631881204813839,10,False
Tm_insert,6,0.6643501307237998,10,False
Tm_insert,7,0.5701321358194135,10,False
Tm_insert,8,0.6144256767586893,10,False
Tm_insert,9,0.671852818288803,10,False
maxmicrohom_InsHA,0,0.6321606413369354,11,False
maxmicrohom_InsHA,1,0.7080507523243458,11,False
maxmicrohom_InsHA,2,0.5911743275997373,11,False
maxmicrohom_InsHA,3,0.6554022457704451,11,False
maxmicrohom_InsHA,4,0.5596742368200486,11,False
maxmicrohom_InsHA,5,0.6336141532679762,11,False
maxmicrohom_InsHA,6,0.6635276865180928,11,False
maxmicrohom_InsHA,7,0.5711469515373688,11,False
maxmicrohom_InsHA,8,0.6165309994999209,11,False
maxmicrohom_InsHA,9,0.647722372979298,11,False
VF_insert_z,0,0.6276180704421568,12,False
VF_insert_z,1,0.7051889343701441,12,False
VF_insert_z,2,0.5838456513490637,12,False
VF_insert_z,3,0.6613998772283712,12,False
VF_insert_z,4,0.6032166539140973,12,False
VF_insert_z,5,0.6414801362556445,12,False
VF_insert_z,6,0.6675422886619815,12,False
VF_insert_z,7,0.5695142478600981,12,False
VF_insert_z,8,0.6103565368519699,12,False
VF_insert_z,9,0.6301703111768773,12,False
percG,0,0.6324505122805946,13,False
percG,1,0.7093966466784656,13,False
percG,2,0.5908019893946,13,False
percG,3,0.6580045839225132,13,False
percG,4,0.5868518176070971,13,False
percG,5,0.6354626563293342,13,False
percG,6,0.6734921940961764,13,False
percG,7,0.5710107444444673,13,False
percG,8,0.607938118980729,13,False
percG,9,0.6572342277555987,13,False
percGC,0,0.6327458283221578,14,False
percGC,1,0.7002869835896944,14,False
percGC,2,0.6045860746577125,14,False
percGC,3,0.663460988643493,14,False
percGC,4,0.5647774259399073,14,False
percGC,5,0.6323401275137018,14,False
percGC,6,0.665288567944773,14,False
percGC,7,0.5793597656484976,14,False
percGC,8,0.6043213436717962,14,False
percGC,9,0.6065274392379691,14,False
loop2_intact,0,0.6330975470837845,15,False
loop2_intact,1,0.7002869835896944,15,False
loop2_intact,2,0.6339934088730282,15,False
loop2_intact,3,0.663460988643493,15,False
loop2_intact,4,0.5804835607161746,15,False
loop2_intact,5,0.6282507054758647,15,False
loop2_intact,6,0.665837636992797,15,False
loop2_intact,7,0.5802117395358799,15,False
loop2_intact,8,0.6031813027588688,15,False
loop2_intact,9,0.6065274392379691,15,False
Tm_insert_z,0,0.6348944174175484,16,False
Tm_insert_z,1,0.702822178971189,16,False
Tm_insert_z,2,0.6234810241907442,16,False
Tm_insert_z,3,0.6655046949324935,16,False
Tm_insert_z,4,0.6031790231245054,16,False
Tm_insert_z,5,0.6372098404766612,16,False
Tm_insert_z,6,0.6640933346474602,16,False
Tm_insert_z,7,0.5733250432312935,16,False
Tm_insert_z,8,0.6040131463272687,16,False
Tm_insert_z,9,0.6413608895173843,16,False
smaller7,0,0.6348944174175484,17,False
smaller7,1,0.702822178971189,17,False
smaller7,2,0.6234810241907442,17,False
smaller7,3,0.6655046949324935,17,False
smaller7,4,0.6031790231245054,17,False
smaller7,5,0.6372098404766612,17,False
smaller7,6,0.6640933346474602,17,False
smaller7,7,0.5733250432312935,17,False
smaller7,8,0.6040131463272687,17,False
smaller7,9,0.6413608895173843,17,False
